,topic,category 0,category 1,category 2,category 3
0,Ecosystem Health Indicators,Ecosystem Health Indicators,,,
1,Biodiversity Index,Ecosystem Health Indicators,Biodiversity Index,,
2,Species Richness,Ecosystem Health Indicators,Biodiversity Index,Species Richness,
3,Number of Endemic Species,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Number of Endemic Species
4,Variety of Pollinator Species,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Variety of Pollinator Species
5,Diversity of Marine Species,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Diversity of Marine Species
6,Forest Species Diversity,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Forest Species Diversity
7,Freshwater Species Variety,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Freshwater Species Variety
8,Presence of Keystone Species,Ecosystem Health Indicators,Biodiversity Index,Species Richness,Presence of Keystone Species
9,Genetic Diversity,Ecosystem Health Indicators,Biodiversity Index,Genetic Diversity,
10,Allelic Variation,Ecosystem Health Indicators,Biodiversity Index,Genetic Diversity,Allelic Variation
11,Genetic Population Structure,Ecosystem Health Indicators,Biodiversity Index,Genetic Diversity,Genetic Population Structure
12,Adaptive Genetic Traits,Ecosystem Health Indicators,Biodiversity Index,Genetic Diversity,Adaptive Genetic Traits
13,Habitat Connectivity,Ecosystem Health Indicators,Biodiversity Index,Habitat Connectivity,
14,Corridor Lengths,Ecosystem Health Indicators,Biodiversity Index,Habitat Connectivity,Corridor Lengths
15,Landscape Permeability,Ecosystem Health Indicators,Biodiversity Index,Habitat Connectivity,Landscape Permeability
16,Patch Size Distribution,Ecosystem Health Indicators,Biodiversity Index,Habitat Connectivity,Patch Size Distribution
17,Population Abundance,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,
18,Herbivore Population Density,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,Herbivore Population Density
19,Pollinator Population Size,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,Pollinator Population Size
20,Predator Population Levels,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,Predator Population Levels
21,Aquatic Organism Abundance,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,Aquatic Organism Abundance
22,Migratory Bird Population Numbers,Ecosystem Health Indicators,Biodiversity Index,Population Abundance,Migratory Bird Population Numbers
23,Invasive Species Presence,Ecosystem Health Indicators,Biodiversity Index,Invasive Species Presence,
24,Invasive Species Population Density,Ecosystem Health Indicators,Biodiversity Index,Invasive Species Presence,Invasive Species Population Density
25,Range of Invasive Species Distribution,Ecosystem Health Indicators,Biodiversity Index,Invasive Species Presence,Range of Invasive Species Distribution
26,Soil Quality,Ecosystem Health Indicators,Soil Quality,,
27,Soil Organic Matter Content,Ecosystem Health Indicators,Soil Quality,Soil Organic Matter Content,
28,Carbon Sequestration Capacity,Ecosystem Health Indicators,Soil Quality,Soil Organic Matter Content,Carbon Sequestration Capacity
29,Soil Carbon Fractionation,Ecosystem Health Indicators,Soil Quality,Soil Organic Matter Content,Soil Carbon Fractionation
30,Rate of Organic Matter Decomposition,Ecosystem Health Indicators,Soil Quality,Soil Organic Matter Content,Rate of Organic Matter Decomposition
31,Soil Nutrient Levels,Ecosystem Health Indicators,Soil Quality,Soil Nutrient Levels,
32,Soil Nitrogen Concentration,Ecosystem Health Indicators,Soil Quality,Soil Nutrient Levels,Soil Nitrogen Concentration
33,Soil Phosphorus Availability,Ecosystem Health Indicators,Soil Quality,Soil Nutrient Levels,Soil Phosphorus Availability
34,Soil Potassium Content,Ecosystem Health Indicators,Soil Quality,Soil Nutrient Levels,Soil Potassium Content
35,Soil Microbial Diversity,Ecosystem Health Indicators,Soil Quality,Soil Microbial Diversity,
36,Microbial Species Richness,Ecosystem Health Indicators,Soil Quality,Soil Microbial Diversity,Microbial Species Richness
37,Microbial Evenness,Ecosystem Health Indicators,Soil Quality,Soil Microbial Diversity,Microbial Evenness
38,Microbial Biomass,Ecosystem Health Indicators,Soil Quality,Soil Microbial Diversity,Microbial Biomass
39,Functional Diversity of Microbes,Ecosystem Health Indicators,Soil Quality,Soil Microbial Diversity,Functional Diversity of Microbes
40,Soil Microbial Respiration,Ecosystem Health Indicators,Soil Quality,Soil Microbial Diversity,Soil Microbial Respiration
41,Soil Structure,Ecosystem Health Indicators,Soil Quality,Soil Structure,
42,Soil Compaction,Ecosystem Health Indicators,Soil Quality,Soil Structure,Soil Compaction
43,Aggregate Stability,Ecosystem Health Indicators,Soil Quality,Soil Structure,Aggregate Stability
44,Soil Porosity,Ecosystem Health Indicators,Soil Quality,Soil Structure,Soil Porosity
45,Soil Texture,Ecosystem Health Indicators,Soil Quality,Soil Structure,Soil Texture
46,Root Penetration Depth,Ecosystem Health Indicators,Soil Quality,Soil Structure,Root Penetration Depth
47,Soil Moisture,Ecosystem Health Indicators,Soil Quality,Soil Moisture,
48,Infiltration Rate,Ecosystem Health Indicators,Soil Quality,Soil Moisture,Infiltration Rate
49,Evapotranspiration Rate,Ecosystem Health Indicators,Soil Quality,Soil Moisture,Evapotranspiration Rate
50,Soil Water Retention Capacity,Ecosystem Health Indicators,Soil Quality,Soil Moisture,Soil Water Retention Capacity
51,Soil Contamination Levels,Ecosystem Health Indicators,Soil Quality,Soil Contamination Levels,
52,Heavy Metal Concentration,Ecosystem Health Indicators,Soil Quality,Soil Contamination Levels,Heavy Metal Concentration
53,Pesticide Residues,Ecosystem Health Indicators,Soil Quality,Soil Contamination Levels,Pesticide Residues
54,Polycyclic Aromatic Hydrocarbons,Ecosystem Health Indicators,Soil Quality,Soil Contamination Levels,Polycyclic Aromatic Hydrocarbons
55,Persistent Organic Pollutants,Ecosystem Health Indicators,Soil Quality,Soil Contamination Levels,Persistent Organic Pollutants
56,Radioactive Contaminants,Ecosystem Health Indicators,Soil Quality,Soil Contamination Levels,Radioactive Contaminants
57,Water Quality,Ecosystem Health Indicators,Water Quality,,
58,Dissolved Oxygen Levels,Ecosystem Health Indicators,Water Quality,Dissolved Oxygen Levels,
59,Oxygen Saturation in Freshwater Bodies,Ecosystem Health Indicators,Water Quality,Dissolved Oxygen Levels,Oxygen Saturation in Freshwater Bodies
60,Hypoxic Zones,Ecosystem Health Indicators,Water Quality,Dissolved Oxygen Levels,Hypoxic Zones
61,Aerobic Microorganism Activity,Ecosystem Health Indicators,Water Quality,Dissolved Oxygen Levels,Aerobic Microorganism Activity
62,Fish Species Respiratory Efficiency,Ecosystem Health Indicators,Water Quality,Dissolved Oxygen Levels,Fish Species Respiratory Efficiency
63,Aquatic Plant Photosynthesis Rates,Ecosystem Health Indicators,Water Quality,Dissolved Oxygen Levels,Aquatic Plant Photosynthesis Rates
64,Nutrient Concentration,Ecosystem Health Indicators,Water Quality,Nutrient Concentration,
65,Nitrogen Levels,Ecosystem Health Indicators,Water Quality,Nutrient Concentration,Nitrogen Levels
66,Phosphorus Concentrations,Ecosystem Health Indicators,Water Quality,Nutrient Concentration,Phosphorus Concentrations
67,Algal Bloom Frequency,Ecosystem Health Indicators,Water Quality,Nutrient Concentration,Algal Bloom Frequency
68,Organic Carbon Content,Ecosystem Health Indicators,Water Quality,Nutrient Concentration,Organic Carbon Content
69,Silica Availability,Ecosystem Health Indicators,Water Quality,Nutrient Concentration,Silica Availability
70,pH Balance,Ecosystem Health Indicators,Water Quality,pH Balance,
71,Acidification Levels,Ecosystem Health Indicators,Water Quality,pH Balance,Acidification Levels
72,Alkalinity Variations,Ecosystem Health Indicators,Water Quality,pH Balance,Alkalinity Variations
73,Presence of Pathogens,Ecosystem Health Indicators,Water Quality,Presence of Pathogens,
74,Bacterial Population Density,Ecosystem Health Indicators,Water Quality,Presence of Pathogens,Bacterial Population Density
75,Fungal Spore Concentration,Ecosystem Health Indicators,Water Quality,Presence of Pathogens,Fungal Spore Concentration
76,Virus Load,Ecosystem Health Indicators,Water Quality,Presence of Pathogens,Virus Load
77,Parasite Prevalence,Ecosystem Health Indicators,Water Quality,Presence of Pathogens,Parasite Prevalence
78,Pathogenic Microalgae Presence,Ecosystem Health Indicators,Water Quality,Presence of Pathogens,Pathogenic Microalgae Presence
79,Protozoan Diversity,Ecosystem Health Indicators,Water Quality,Presence of Pathogens,Protozoan Diversity
80,Antibiotic Resistance Genes in Pathogens,Ecosystem Health Indicators,Water Quality,Presence of Pathogens,Antibiotic Resistance Genes in Pathogens
81,Turbidity,Ecosystem Health Indicators,Water Quality,Turbidity,
82,Sediment Concentration,Ecosystem Health Indicators,Water Quality,Turbidity,Sediment Concentration
83,Algal Bloom Levels,Ecosystem Health Indicators,Water Quality,Turbidity,Algal Bloom Levels
84,Particulate Organic Matter,Ecosystem Health Indicators,Water Quality,Turbidity,Particulate Organic Matter
85,Water Clarity,Ecosystem Health Indicators,Water Quality,Turbidity,Water Clarity
86,Vegetation Cover,Ecosystem Health Indicators,Vegetation Cover,,
87,Forest Density,Ecosystem Health Indicators,Vegetation Cover,Forest Density,
88,Tree Canopy Cover,Ecosystem Health Indicators,Vegetation Cover,Forest Density,Tree Canopy Cover
89,Understory Vegetation Proliferation,Ecosystem Health Indicators,Vegetation Cover,Forest Density,Understory Vegetation Proliferation
90,Forest Biodiversity Levels,Ecosystem Health Indicators,Vegetation Cover,Forest Density,Forest Biodiversity Levels
91,Grassland Area,Ecosystem Health Indicators,Vegetation Cover,Grassland Area,
92,Native Plant Species Diversity,Ecosystem Health Indicators,Vegetation Cover,Grassland Area,Native Plant Species Diversity
93,Insect Population Density,Ecosystem Health Indicators,Vegetation Cover,Grassland Area,Insect Population Density
94,Wildlife Habitat Connectivity,Ecosystem Health Indicators,Vegetation Cover,Grassland Area,Wildlife Habitat Connectivity
95,Wetland Vegetation Area,Ecosystem Health Indicators,Vegetation Cover,Wetland Vegetation Area,
96,Aquatic Plant Diversity,Ecosystem Health Indicators,Vegetation Cover,Wetland Vegetation Area,Aquatic Plant Diversity
97,Wetland Soil Quality,Ecosystem Health Indicators,Vegetation Cover,Wetland Vegetation Area,Wetland Soil Quality
98,Water Coverage in Wetlands,Ecosystem Health Indicators,Vegetation Cover,Wetland Vegetation Area,Water Coverage in Wetlands
99,Endemic Species Population,Ecosystem Health Indicators,Vegetation Cover,Wetland Vegetation Area,Endemic Species Population
100,Nutrient Concentration in Wetland Waters,Ecosystem Health Indicators,Vegetation Cover,Wetland Vegetation Area,Nutrient Concentration in Wetland Waters
101,Urban Green Space,Ecosystem Health Indicators,Vegetation Cover,Urban Green Space,
102,Tree Canopy Coverage,Ecosystem Health Indicators,Vegetation Cover,Urban Green Space,Tree Canopy Coverage
103,Biodiversity in Urban Parks,Ecosystem Health Indicators,Vegetation Cover,Urban Green Space,Biodiversity in Urban Parks
104,Permeable Surface Area,Ecosystem Health Indicators,Vegetation Cover,Urban Green Space,Permeable Surface Area
105,Air Quality Linked to Vegetation,Ecosystem Health Indicators,Vegetation Cover,Urban Green Space,Air Quality Linked to Vegetation
106,Urban Wildlife Populations,Ecosystem Health Indicators,Vegetation Cover,Urban Green Space,Urban Wildlife Populations
107,Mangrove Coverage,Ecosystem Health Indicators,Vegetation Cover,Mangrove Coverage,
108,Canopy Density,Ecosystem Health Indicators,Vegetation Cover,Mangrove Coverage,Canopy Density
109,Root Biomass,Ecosystem Health Indicators,Vegetation Cover,Mangrove Coverage,Root Biomass
110,Species Diversity,Ecosystem Health Indicators,Vegetation Cover,Mangrove Coverage,Species Diversity
111,Pollinator Populations,Ecosystem Health Indicators,Pollinator Populations,,
112,Native Bee Diversity,Ecosystem Health Indicators,Pollinator Populations,Native Bee Diversity,
113,Bee Species Richness,Ecosystem Health Indicators,Pollinator Populations,Native Bee Diversity,Bee Species Richness
114,Bee Population Density,Ecosystem Health Indicators,Pollinator Populations,Native Bee Diversity,Bee Population Density
115,Distribution Range of Native Bees,Ecosystem Health Indicators,Pollinator Populations,Native Bee Diversity,Distribution Range of Native Bees
116,Genetic Variability of Bee Populations,Ecosystem Health Indicators,Pollinator Populations,Native Bee Diversity,Genetic Variability of Bee Populations
117,Pollination Success Rate,Ecosystem Health Indicators,Pollinator Populations,Pollination Success Rate,
118,Flower Reproduction Rates,Ecosystem Health Indicators,Pollinator Populations,Pollination Success Rate,Flower Reproduction Rates
119,Pollinator Visitation Frequency,Ecosystem Health Indicators,Pollinator Populations,Pollination Success Rate,Pollinator Visitation Frequency
120,Pollen Transfer Efficiency,Ecosystem Health Indicators,Pollinator Populations,Pollination Success Rate,Pollen Transfer Efficiency
121,Economic Impact Metrics,Economic Impact Metrics,,,
122,Agricultural Productivity,Economic Impact Metrics,Agricultural Productivity,,
123,Crop Yield Levels,Economic Impact Metrics,Agricultural Productivity,Crop Yield Levels,
124,Annual Harvest Quantity,Economic Impact Metrics,Agricultural Productivity,Crop Yield Levels,Annual Harvest Quantity
125,Crop Variety Yields,Economic Impact Metrics,Agricultural Productivity,Crop Yield Levels,Crop Variety Yields
126,Regional Yield Distribution,Economic Impact Metrics,Agricultural Productivity,Crop Yield Levels,Regional Yield Distribution
127,Yield per Acre,Economic Impact Metrics,Agricultural Productivity,Crop Yield Levels,Yield per Acre
128,Temperature-Adjusted Yield,Economic Impact Metrics,Agricultural Productivity,Crop Yield Levels,Temperature-Adjusted Yield
129,Livestock Production Volume,Economic Impact Metrics,Agricultural Productivity,Livestock Production Volume,
130,Cattle Inventory Levels,Economic Impact Metrics,Agricultural Productivity,Livestock Production Volume,Cattle Inventory Levels
131,Poultry Production Quantity,Economic Impact Metrics,Agricultural Productivity,Livestock Production Volume,Poultry Production Quantity
132,Sheep and Goat Herd Sizes,Economic Impact Metrics,Agricultural Productivity,Livestock Production Volume,Sheep and Goat Herd Sizes
133,Pork Output Volume,Economic Impact Metrics,Agricultural Productivity,Livestock Production Volume,Pork Output Volume
134,Dairy Production Quantities,Economic Impact Metrics,Agricultural Productivity,Livestock Production Volume,Dairy Production Quantities
135,Beef Production Volume,Economic Impact Metrics,Agricultural Productivity,Livestock Production Volume,Beef Production Volume
136,Egg Production Count,Economic Impact Metrics,Agricultural Productivity,Livestock Production Volume,Egg Production Count
137,Aquaculture Yield,Economic Impact Metrics,Agricultural Productivity,Livestock Production Volume,Aquaculture Yield
138,Soil Fertility,Economic Impact Metrics,Agricultural Productivity,Soil Fertility,
139,Nutrient Availability Value,Economic Impact Metrics,Agricultural Productivity,Soil Fertility,Nutrient Availability Value
140,pH Balance Economic Impact,Economic Impact Metrics,Agricultural Productivity,Soil Fertility,pH Balance Economic Impact
141,Irrigation Efficiency,Economic Impact Metrics,Agricultural Productivity,Irrigation Efficiency,
142,Water Usage per Unit of Crop,Economic Impact Metrics,Agricultural Productivity,Irrigation Efficiency,Water Usage per Unit of Crop
143,Energy Costs for Water Pumping,Economic Impact Metrics,Agricultural Productivity,Irrigation Efficiency,Energy Costs for Water Pumping
144,Water Delivery Time Efficiency,Economic Impact Metrics,Agricultural Productivity,Irrigation Efficiency,Water Delivery Time Efficiency
145,Maintenance Costs of Irrigation Systems,Economic Impact Metrics,Agricultural Productivity,Irrigation Efficiency,Maintenance Costs of Irrigation Systems
146,Operational Costs for Water Management,Economic Impact Metrics,Agricultural Productivity,Irrigation Efficiency,Operational Costs for Water Management
147,Technology Upgrade Costs in Irrigation Systems,Economic Impact Metrics,Agricultural Productivity,Irrigation Efficiency,Technology Upgrade Costs in Irrigation Systems
148,Revenue Generated from Improved Water Distribution,Economic Impact Metrics,Agricultural Productivity,Irrigation Efficiency,Revenue Generated from Improved Water Distribution
149,Farm Labor Costs,Economic Impact Metrics,Agricultural Productivity,Farm Labor Costs,
150,Wages Paid to Farm Workers,Economic Impact Metrics,Agricultural Productivity,Farm Labor Costs,Wages Paid to Farm Workers
151,Labor Hours Required Per Crop,Economic Impact Metrics,Agricultural Productivity,Farm Labor Costs,Labor Hours Required Per Crop
152,Labor Supply Availability,Economic Impact Metrics,Agricultural Productivity,Farm Labor Costs,Labor Supply Availability
153,Overtime Hours Worked,Economic Impact Metrics,Agricultural Productivity,Farm Labor Costs,Overtime Hours Worked
154,Input Costs for Seeds and Fertilizers,Economic Impact Metrics,Agricultural Productivity,Input Costs for Seeds and Fertilizers,
155,Seed Price Trends,Economic Impact Metrics,Agricultural Productivity,Input Costs for Seeds and Fertilizers,Seed Price Trends
156,Fertilizer Market Prices,Economic Impact Metrics,Agricultural Productivity,Input Costs for Seeds and Fertilizers,Fertilizer Market Prices
157,Import Tariffs on Agricultural Inputs,Economic Impact Metrics,Agricultural Productivity,Input Costs for Seeds and Fertilizers,Import Tariffs on Agricultural Inputs
158,Transportation Costs for Distribution,Economic Impact Metrics,Agricultural Productivity,Input Costs for Seeds and Fertilizers,Transportation Costs for Distribution
159,Storage Costs for Seed and Fertilizer,Economic Impact Metrics,Agricultural Productivity,Input Costs for Seeds and Fertilizers,Storage Costs for Seed and Fertilizer
160,Currency Exchange Rates Impacting Imports,Economic Impact Metrics,Agricultural Productivity,Input Costs for Seeds and Fertilizers,Currency Exchange Rates Impacting Imports
161,Native Agricultural Input Production Levels,Economic Impact Metrics,Agricultural Productivity,Input Costs for Seeds and Fertilizers,Native Agricultural Input Production Levels
162,Technological Advancements in Input Production,Economic Impact Metrics,Agricultural Productivity,Input Costs for Seeds and Fertilizers,Technological Advancements in Input Production
163,Post-Harvest Losses,Economic Impact Metrics,Agricultural Productivity,Post-Harvest Losses,
164,Storage Infrastructure Efficiency,Economic Impact Metrics,Agricultural Productivity,Post-Harvest Losses,Storage Infrastructure Efficiency
165,Market Access and Distribution Channels,Economic Impact Metrics,Agricultural Productivity,Post-Harvest Losses,Market Access and Distribution Channels
166,Resource Extraction Revenues,Economic Impact Metrics,Resource Extraction Revenues,,
167,Mineral Extraction Revenues,Economic Impact Metrics,Resource Extraction Revenues,Mineral Extraction Revenues,
168,Mining Production Volume,Economic Impact Metrics,Resource Extraction Revenues,Mineral Extraction Revenues,Mining Production Volume
169,Commodity Market Prices,Economic Impact Metrics,Resource Extraction Revenues,Mineral Extraction Revenues,Commodity Market Prices
170,Export Volume of Minerals,Economic Impact Metrics,Resource Extraction Revenues,Mineral Extraction Revenues,Export Volume of Minerals
171,Employment in Mining Sector,Economic Impact Metrics,Resource Extraction Revenues,Mineral Extraction Revenues,Employment in Mining Sector
172,Tax Revenue from Mining Activities,Economic Impact Metrics,Resource Extraction Revenues,Mineral Extraction Revenues,Tax Revenue from Mining Activities
173,Forestry Extraction Revenues,Economic Impact Metrics,Resource Extraction Revenues,Forestry Extraction Revenues,
174,Timber Production Volume,Economic Impact Metrics,Resource Extraction Revenues,Forestry Extraction Revenues,Timber Production Volume
175,Market Price of Wood Products,Economic Impact Metrics,Resource Extraction Revenues,Forestry Extraction Revenues,Market Price of Wood Products
176,Logging Employment Numbers,Economic Impact Metrics,Resource Extraction Revenues,Forestry Extraction Revenues,Logging Employment Numbers
177,Export Value of Forest Products,Economic Impact Metrics,Resource Extraction Revenues,Forestry Extraction Revenues,Export Value of Forest Products
178,Harvest Fees and Royalties,Economic Impact Metrics,Resource Extraction Revenues,Forestry Extraction Revenues,Harvest Fees and Royalties
179,Investment in Forestry Infrastructure,Economic Impact Metrics,Resource Extraction Revenues,Forestry Extraction Revenues,Investment in Forestry Infrastructure
180,Fishery Extraction Revenues,Economic Impact Metrics,Resource Extraction Revenues,Fishery Extraction Revenues,
181,Commercial Fish Catch Volumes,Economic Impact Metrics,Resource Extraction Revenues,Fishery Extraction Revenues,Commercial Fish Catch Volumes
182,Market Price of Fish Products,Economic Impact Metrics,Resource Extraction Revenues,Fishery Extraction Revenues,Market Price of Fish Products
183,Fishing Fleet Size,Economic Impact Metrics,Resource Extraction Revenues,Fishery Extraction Revenues,Fishing Fleet Size
184,Aquaculture Production Levels,Economic Impact Metrics,Resource Extraction Revenues,Fishery Extraction Revenues,Aquaculture Production Levels
185,International Fish Trade Volumes,Economic Impact Metrics,Resource Extraction Revenues,Fishery Extraction Revenues,International Fish Trade Volumes
186,Investment in Fishing Technology,Economic Impact Metrics,Resource Extraction Revenues,Fishery Extraction Revenues,Investment in Fishing Technology
187,Employment in Fisheries Sector,Economic Impact Metrics,Resource Extraction Revenues,Fishery Extraction Revenues,Employment in Fisheries Sector
188,Energy Security Performance,Energy Security Performance,,,
189,Energy Production Capacity,Energy Security Performance,Energy Production Capacity,,
190,Renewable Energy Generation,Energy Security Performance,Energy Production Capacity,Renewable Energy Generation,
191,Solar Power Capacity,Energy Security Performance,Energy Production Capacity,Renewable Energy Generation,Solar Power Capacity
192,Wind Power Capacity,Energy Security Performance,Energy Production Capacity,Renewable Energy Generation,Wind Power Capacity
193,Geothermal Energy Utilization,Energy Security Performance,Energy Production Capacity,Renewable Energy Generation,Geothermal Energy Utilization
194,Biomass Energy Output,Energy Security Performance,Energy Production Capacity,Renewable Energy Generation,Biomass Energy Output
195,Tidal and Wave Energy Production,Energy Security Performance,Energy Production Capacity,Renewable Energy Generation,Tidal and Wave Energy Production
196,Fossil Fuel Output,Energy Security Performance,Energy Production Capacity,Fossil Fuel Output,
197,Oil Production Volume,Energy Security Performance,Energy Production Capacity,Fossil Fuel Output,Oil Production Volume
